mu,sigma,final_mass,mean_mass,mass_std,mean_activity,classification,lyapunov,lyapunov_std,lyapunov_class,correlation_type,correlation_length,correlation_exponent,entropy,spatial_entropy,mutual_info,susceptibility
0.11642857142857142,0.03071428571428572,3665.743433181916,3665.019814654842,3.2295951591220335,1.4730108959897301,stable,0.019252830274157893,0.0006470272721901913,chaotic,exponential,2.307737637906399,0.4333248214936639,0.8780843451998829,3.3157072171300874,0.03655054701985572,
0.11642857142857142,0.02642857142857143,3517.8335453912887,3518.7359035794716,1.3324566346389224,2.6623895787914003,stable,0.026455712085950638,0.0009929575934646624,chaotic,exponential,2.084354427151415,0.4797648552346498,0.9154033722835984,3.402396566249623,0.020948398157978998,
0.12857142857142856,0.005,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.12857142857142856,0.0071428571428571435,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.12857142857142856,0.009285714285714286,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.12857142857142856,0.01142857142857143,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.12857142857142856,0.013571428571428571,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.12857142857142856,0.015714285714285715,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.11642857142857142,0.032857142857142856,3731.147357542064,3735.158032567574,2.8543903096966785,1.544763382140439,stable,0.017350776162850117,0.001347526702936526,chaotic,exponential,2.5193611517550085,0.3969260220208569,0.8769182684615283,3.1313228681025094,0.009182692374150703,
0.11642857142857142,0.035,3790.709950195608,3791.5101653010506,2.3238325345481443,1.8187564455286012,stable,0.021737709808860962,0.0011142754148524567,chaotic,exponential,2.471972609278204,0.4045352267442769,0.8804202547312199,3.1987136977130946,0.012699628380146155,
0.12857142857142856,0.022142857142857145,3523.954859996611,3520.052998031641,2.6261092445907623,3.0846508976703007,stable,0.02564151900835894,0.000730995703866381,chaotic,exponential,1.7009390573127232,0.5879105401811857,0.933053682781931,3.474093616207227,0.02020305290576352,
0.12857142857142856,0.01785714285714286,3337.348797054964,3341.9821256226546,4.568872413155236,6.3316110491757165,stable,0.04270943518591275,0.005587531369204989,chaotic,exponential,1.506400141345066,0.6638342446696128,0.9899215878857299,3.59394399005239,0.034916013809471735,
0.12857142857142856,0.02,3413.749944577196,3412.1043623265423,3.745043795604765,4.08120747196174,stable,0.03339370749268652,0.00036497776894610525,chaotic,exponential,1.5701259848883486,0.6368915676986964,0.9355216628686572,3.480594701790688,0.03326365101509654,
0.12857142857142856,0.028571428571428574,3745.6976997045513,3744.180121573046,1.9354482993232676,1.8514589798346264,stable,0.020470488800125423,0.0007881091401192076,chaotic,exponential,1.9945407864055145,0.5013685389719014,0.9305920560629162,3.4212425109521725,0.01876872915096217,
